;category_en;category_cn;subtitle_en;subtitle_cn;title_en;title_cn;content_en;content_cn;source;classification;avater;list
12;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![44178210_117758145771429_650879543041017231_n](https://user-images.githubusercontent.com/43483189/82146820-c8155880-984c-11ea-941c-d0e6547e9912.jpg)
13;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![44374094_1900403616706390_5464741225782787098_n](https://user-images.githubusercontent.com/43483189/82146821-c8155880-984c-11ea-96c6-9e4de3c51bb4.jpg)
14;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![46965487_567463767049970_6296254711599061828_n](https://user-images.githubusercontent.com/43483189/82146822-c8adef00-984c-11ea-8ee8-5f5342cbe3b3.jpg)
15;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![47014994_953698155018502_2908065043486767501_n](https://user-images.githubusercontent.com/43483189/82146823-c8adef00-984c-11ea-8091-b0e1dcd18ec6.jpg)
16;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![47070694_344558506340737_8999498827945424651_n](https://user-images.githubusercontent.com/43483189/82146825-c9468580-984c-11ea-8eb9-2195b9db6648.jpg)
17;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![47689732_323666261586013_1491908012069395026_n](https://user-images.githubusercontent.com/43483189/82146826-c9468580-984c-11ea-9450-bed9a80a937b.jpg)
18;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![47695091_543002352885111_4284478656530607020_n](https://user-images.githubusercontent.com/43483189/82146827-c9df1c00-984c-11ea-9e84-d8e0e8154cae.jpg)
19;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![49324177_574816129612027_886678487299771482_n](https://user-images.githubusercontent.com/43483189/82146828-c9df1c00-984c-11ea-8c4f-2b52d0cff3c6.jpg)
20;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![49394337_394846191267850_4418048379354996028_n](https://user-images.githubusercontent.com/43483189/82146829-c9df1c00-984c-11ea-8cec-621d5f356924.jpg)
21;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![49447766_400871830665272_5460884847426435844_n](https://user-images.githubusercontent.com/43483189/82146830-ca77b280-984c-11ea-86c9-8d558b288663.jpg)
22;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![49573170_372374586657979_5235043695484400275_n](https://user-images.githubusercontent.com/43483189/82146831-ca77b280-984c-11ea-8d2a-f4bcbf515689.jpg)
23;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![49613213_535875316908809_6467516934703309746_n](https://user-images.githubusercontent.com/43483189/82146832-ca77b280-984c-11ea-8f13-9540596f34b1.jpg)
24;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (2);高允贞 (2);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![50878376_1281197152027447_5395687313668218215_n](https://user-images.githubusercontent.com/43483189/82147189-4aeae300-984e-11ea-9b38-ae2c26a2b8b1.jpg);![49622764_2158748490884262_700080299022942072_n](https://user-images.githubusercontent.com/43483189/82146833-cb104900-984c-11ea-9df8-a7ac264a571a.jpg)
