;category_en;category_cn;subtitle_en;subtitle_cn;title_en;title_cn;content_en;content_cn;source;classification;avater;list
0;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (1);高允贞 (1);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![65033585_1713363005638118_9145120195672381933_n](https://user-images.githubusercontent.com/43483189/82147185-49b9b600-984e-11ea-988d-865f06cd1c49.jpg);![83904371_1264068970457860_3981449987271405103_n](https://user-images.githubusercontent.com/43483189/82146749-b633b580-984c-11ea-9231-222801d6fe11.jpg)
1;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (1);高允贞 (1);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![65033585_1713363005638118_9145120195672381933_n](https://user-images.githubusercontent.com/43483189/82147185-49b9b600-984e-11ea-988d-865f06cd1c49.jpg);![84444180_196473691411570_6700550896964117363_n](https://user-images.githubusercontent.com/43483189/82146752-b6cc4c00-984c-11ea-934f-006ecc1d68a1.jpg)
2;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (1);高允贞 (1);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![65033585_1713363005638118_9145120195672381933_n](https://user-images.githubusercontent.com/43483189/82147185-49b9b600-984e-11ea-988d-865f06cd1c49.jpg);![84476445_554267481839469_788652866345694578_n](https://user-images.githubusercontent.com/43483189/82146753-b6cc4c00-984c-11ea-98fc-7777e7641ca6.jpg)
3;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (1);高允贞 (1);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![65033585_1713363005638118_9145120195672381933_n](https://user-images.githubusercontent.com/43483189/82147185-49b9b600-984e-11ea-988d-865f06cd1c49.jpg);![84593161_3012826848728462_8582481375266902994_n](https://user-images.githubusercontent.com/43483189/82146754-b764e280-984c-11ea-9e8b-cbe5ce09c616.jpg)
4;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (1);高允贞 (1);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![65033585_1713363005638118_9145120195672381933_n](https://user-images.githubusercontent.com/43483189/82147185-49b9b600-984e-11ea-988d-865f06cd1c49.jpg);![84745123_124575965556962_5831702734555593437_n](https://user-images.githubusercontent.com/43483189/82146756-b764e280-984c-11ea-9c79-ae00e3875afd.jpg)
5;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (1);高允贞 (1);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![65033585_1713363005638118_9145120195672381933_n](https://user-images.githubusercontent.com/43483189/82147185-49b9b600-984e-11ea-988d-865f06cd1c49.jpg);![92414678_805967239893599_8981350111315021467_n](https://user-images.githubusercontent.com/43483189/82146757-b7fd7900-984c-11ea-82fd-16e8503fb3e2.jpg)
6;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (1);高允贞 (1);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![65033585_1713363005638118_9145120195672381933_n](https://user-images.githubusercontent.com/43483189/82147185-49b9b600-984e-11ea-988d-865f06cd1c49.jpg);![92881985_218520892802887_8281081339409043028_n](https://user-images.githubusercontent.com/43483189/82146758-b7fd7900-984c-11ea-9aec-e1a5f534e88b.jpg)
7;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (1);高允贞 (1);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![65033585_1713363005638118_9145120195672381933_n](https://user-images.githubusercontent.com/43483189/82147185-49b9b600-984e-11ea-988d-865f06cd1c49.jpg);![93345607_889834521489511_938466411011489118_n](https://user-images.githubusercontent.com/43483189/82146760-b7fd7900-984c-11ea-9161-2afb9b432ef7.jpg)
8;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (1);高允贞 (1);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![65033585_1713363005638118_9145120195672381933_n](https://user-images.githubusercontent.com/43483189/82147185-49b9b600-984e-11ea-988d-865f06cd1c49.jpg);![93705346_655667945254626_5714816198307602341_n](https://user-images.githubusercontent.com/43483189/82146761-b8960f80-984c-11ea-8c67-de3024c7fd09.jpg)
9;asia;亚洲;Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;Go Younjung (1);高允贞 (1);Famous Korean model - Go Yungjung;韩国知名平面模特-高允贞;ins;normal;![65033585_1713363005638118_9145120195672381933_n](https://user-images.githubusercontent.com/43483189/82147185-49b9b600-984e-11ea-988d-865f06cd1c49.jpg);![93705351_927389387680795_8222410049231698269_n](https://user-images.githubusercontent.com/43483189/82146762-b8960f80-984c-11ea-964e-64467c868772.jpg)
